case,init_mode,schedule,threads,run,n,allocation_seconds,initialization_seconds,computation_seconds,deallocation_seconds,sum,expected_sum
first_touch_good,parallel,static,12,1,40000,0.000014,3.226018,0.421198,0.035824,63998400000000,63998400000000
first_touch_good,parallel,static,12,2,40000,0.000033,3.227790,0.427407,0.035816,63998400000000,63998400000000
first_touch_good,parallel,static,12,3,40000,0.000023,3.227178,0.419496,0.039556,63998400000000,63998400000000
first_touch_good,parallel,static,12,4,40000,0.000025,3.285827,0.424748,0.038778,63998400000000,63998400000000
first_touch_good,parallel,static,12,5,40000,0.000017,3.256815,0.423924,0.036240,63998400000000,63998400000000
schedule_check,parallel,dynamic,12,1,40000,0.000030,3.597559,0.514941,0.042998,63998400000000,63998400000000
schedule_check,parallel,dynamic,12,2,40000,0.000024,3.581987,0.508793,0.040505,63998400000000,63998400000000
schedule_check,parallel,dynamic,12,3,40000,0.000030,3.514539,0.490803,0.036317,63998400000000,63998400000000
schedule_check,parallel,dynamic,12,4,40000,0.000029,3.475062,0.493780,0.039225,63998400000000,63998400000000
schedule_check,parallel,dynamic,12,5,40000,0.000024,3.431811,0.483458,0.036367,63998400000000,63998400000000
schedule_check,parallel,guided,12,1,40000,0.000026,0.966216,0.381072,0.037123,63998400000000,63998400000000
schedule_check,parallel,guided,12,2,40000,0.000027,0.962143,0.413121,0.037220,63998400000000,63998400000000
schedule_check,parallel,guided,12,3,40000,0.000026,0.965992,0.466566,0.038191,63998400000000,63998400000000
schedule_check,parallel,guided,12,4,40000,0.000026,0.959411,0.471227,0.037167,63998400000000,63998400000000
schedule_check,parallel,guided,12,5,40000,0.000026,0.963371,0.472838,0.037153,63998400000000,63998400000000
first_touch_bad,serial,static,12,1,40000,0.000017,2.608640,0.647318,0.031945,63998400000000,63998400000000
first_touch_bad,serial,static,12,2,40000,0.000029,2.609079,0.649026,0.032202,63998400000000,63998400000000
first_touch_bad,serial,static,12,3,40000,0.000027,2.609489,0.648438,0.031972,63998400000000,63998400000000
first_touch_bad,serial,static,12,4,40000,0.000026,2.606975,0.647894,0.032137,63998400000000,63998400000000
first_touch_bad,serial,static,12,5,40000,0.000028,2.614534,0.649897,0.031939,63998400000000,63998400000000
schedule_check,serial,dynamic,12,1,40000,0.000012,2.608036,0.547672,0.031839,63998400000000,63998400000000
schedule_check,serial,dynamic,12,2,40000,0.000012,2.607629,0.548204,0.032042,63998400000000,63998400000000
schedule_check,serial,dynamic,12,3,40000,0.000029,2.611962,0.550770,0.031935,63998400000000,63998400000000
schedule_check,serial,dynamic,12,4,40000,0.000012,2.608775,0.547752,0.032057,63998400000000,63998400000000
schedule_check,serial,dynamic,12,5,40000,0.000027,2.608101,0.547375,0.032042,63998400000000,63998400000000
schedule_check,serial,guided,12,1,40000,0.000012,2.612008,0.532989,0.032102,63998400000000,63998400000000
schedule_check,serial,guided,12,2,40000,0.000029,2.612502,0.532853,0.031926,63998400000000,63998400000000
schedule_check,serial,guided,12,3,40000,0.000030,2.621075,0.532915,0.031968,63998400000000,63998400000000
schedule_check,serial,guided,12,4,40000,0.000027,2.616742,0.533738,0.032025,63998400000000,63998400000000
schedule_check,serial,guided,12,5,40000,0.000024,2.611682,0.532753,0.032016,63998400000000,63998400000000
